Art colony's name,Art colony organisers,Contact person,Contact telephone,E-mail address,Web page,The place where the art colony is held,Time period when the art colony is held,Art field,How long does an art colony last?,"Is the art colony national, regional or international"
IVA.lab,Nezavisni filmski centar Filmart,Dejan Petrović and Slađana Petrović Varagić ,00381 64 1259428 & 00381 63 8507035,office@film-art.org,https://www.interaction.rs/en/iva-lab/ ,"Požega, Čačak, Užice",August,Visual art- video art,4-7 days,Regional
Ars Timacum,"Centar za kulturu ""Prof. Dr Sreten Petrović Iče""""",Vanja Spasić,00381 61 6811680,vanjaspasitj@gmail.com,/,Svrljig,June,Painting,4-7 days,International
NAIVA ART KULT ,Udruženje Naiva Art Kult Kovačica ,Boško Nedeljkov,00381 66 6609499,naiva.art.kult@gmail.com ,/,Kovačica,September,Visual arts,4-7 days,International
Likovna  kolonija Tekije,Hrvatski kulturni centar,Jasna Deranja,00381 65 3579113  ,hkc.ns.0@gmail.com & ns.0@gmail.com,/,Novi Sad,August,Paiting and sculpture,1-3 days,International
"Likovna kolonija ""Jegricka""","Kulturni centar ""Lukijan Musicki"" Temerin",Bozidar Prolic & Milica Marceta,00381 62 8487605 & 00381 69 718021,kctemerin@gmail.com,www.kctemerin.org.rs ,Temerin,July,Visual arts,4-7 days,National
Mina Vukomanović Karadzic,Kulturni centar Mija Aleksić Gornji Milanovac,Nevena Čavorović,00381 32 711 118,office@kcgm.org.rs,https://www.kcgm.org.rs/pages/likovna-kolonija-mina-vukomanovic-karadzic-savinac/,"Savinac, Gornji Milanovac",July,Painting,4-7 days,National
"Likovna kolonija ""Gružanska jesen""",Turistička organizacija opštine Knić,Dragica Ilić & Mirjana Milošević Veličanin,00381 34 510 115,turizam@knic.rs,www.knicturizam.org.rs ,Knić,September,Visual arts,7 days,International
"Međunarodna likovna kolonija ""Sjenica""",Bošnjačko nacionalno vijeće u Srbiji,Emina Ganić,00381 62 1092488,eminaganic76@gmail.com,https://www.bnv.org.rs/,Sjenica,August,Visual arts,4-7 days,International
"Likovna koolonija ,,Trnava""","Kulturni centar ,,Zlatibor""",Ksenija Kovač,00381 64 2855930,kczlatibor@cajetina.org.rs,/,"Trnava, Zlatibor",August,Painting and sculpture,4-7 days,International
Likovna kolonija Dondo - Bački Monoštor,UG Bodrog Bački Monoštor,Dalibor Forgić,00381 65 2964679, ugbodrog@gmail.com  ,https://youtu.be/dLNeztkfylE?si=SAlby2ua2SfvRj92,Bački Monoštor,September,Visual arts,1-3 days,International
Likovna kolonija grafike,Centar za kulturu Smederevo,Milan Ranković,00381 64 3496062,milan.rankovic@gmail.com,www.sdkultura.rs,Smederevo,September,Graphic arts,4-7 days,International
"Međunarodna umjetnička kolonija "" Stipan Šabić""",Hrvatska likovna udruga CroArt,Nela Horvat , 00381 64 3050905,office@croart.org ,https:// www.croart.org,Subotica,August,Painting,4-7 days,International
KEC Art Box,"Ljiljana Maletin Vojvodić, Dragan Vojvodić",Ljiljana Maletin Vojvodić,00381 69 3107977,ljiljanamv@artboxportal.com,https://artboxportal.com/r/,Novi Sad-Petrovaradin,Flexible,Multimedia,Flexible,International
"Medjunarodna likovna kolonija ""Vidici""","Udruženje srpsko-ruskog prijateljstva ""Šid""",Mićo Djukić," 00381 65 8920897,",micodjukic64@gmail.com,/,Šid,August,Painting,4-7 days,International
ARC (Alternativni rezidencijalni centar) Dve Babe ,ZMUC (Zemunski mali umetnički centar),Goran Denić,00381 64 1670647,zmuc@zmuc.org,www.zmuc.org,"Babe village, Sopot municipality, Beograd",Whole year,interdisciplinary arts,Flexible,International
Eho muzike,Dom kulture Stevan Mokranjac u Negotinu,Milan Radosavljević,00381 63 7243849,dkmokranjac@gmail.com,https://domkulture-negotin.rs,"Negotin, Rogljevo",June-July,Painting,4-7 days,National
Program NOISM (without ~ism) i program 'Tehnologije umetnickog stvaralastva' ,Centar_kuda.org ,Zoran Pantelić,00381 63 8920536,zoran@kuda.org; ,www.kuda.org,Novi Sad ,Flexible,Multimedia,Flexible,International
"StationOne, rezidencija za savremeni ples",Stanica Servis za savremeni ples,Marijana Cvetković,/,marijana.cvetkovic@gmai.com,https://dancestation.org/program-stationone/,Beograd,Whole year,Contemporary dance,Flexible,/
Slikarska kolonija u Lipovcu,Kulturni centar Topola,Ljubica Popović,00381 63 8018847,kulturnicentartopola@gmail.com,https://www.kctopola.org.rs/index.php/virtuelna-galerija,"Lipovac village, municipality Topola",June,Visual arts,4-7 days,National
Filmska kolonija Delibradski pesak,Regionalni centar za talente Pančevo,Dragoljub Cucič,00381 062 756 810,rct_pupin@rctpupin.edu.rs,https://www.rctpupin.edu.rs/,Delibradska peščara,July,Film,8-14 days,National
"Umetnička kolonija ,,Mileševa""",Dom kulture Prijepolje,Mirko Malešić,00381 66 055044,"malesic@gmail.com, ",www.mileseva.org,Prijepolje,August,Visual arts,4-7 days,International
Likovna kolonija Sićevo,Galerija savremene likovne umetnosti Niš,Ema Bilić,00381 60 3311289,gslu.ema@gmail.com;,www.gslunis.rs,"Sićevo village, near City of Niš",September,Visual arts,8-14 days,International
Inspiration Belgrade _ artist in residence program,Kulturni Front / Kc Grad,Ljudmila Stratimirović ,00381 63 279363,ljudmila@gradbeograd.eu,www.kcgrad.rs,Beograd,Jul-August and January-February,"Visual arts, literature, performance",1 month,/
"Симпозијум скулптуре ""Бели Венчац""","Смотра уметности ""Мермер и звуци""",Katarina Perović,00 381 60 7073718,smotraumetnostimermerizvuci@gmail.com,www.mermerizvuci.com,Аранђеловац,August,Applied arts,1 month,International
Street Art Residencies,"Elektrika, Pančevo",Vladimir Palibrk,00381 33 622368728,vladimirpalibrk@gmail.com,www.streetartresidencies.wordpress.com,Different cities in Serbia,May-November,"Street art, murals",5 -10 days,International
Jesen u Sirinićkoj župi,Branislav Ristić,Branislav Ristić,00381 64 501 3816,risticb14@gmail.com,/,Štrpci,October,Painting and sculpture,4-7 days,International
"Likovna kolonija ""Koprijan"" Doljevac",Javna biblioteka Doljevac,Bogi Mitić,00381 62 8040928,bogibis@gmail.com,https://bibliotekadoljevac.org/,Doljevac i Orljane,July,Visual arts,4-7 days,National
Prva kolonija naive u tehnici slame,"Galerija Prve kolonije naive u tehnici slame, Donji Tavankut; HKPD Matija Gubec Donji Tavankut","Ljubica Vuković Dulić,",00381 65 9019772,ljubvukovic@gmail.com,matijagubec.org.rs,Donji Tavankut,July,Naive and folk arts,4-7 days,International
Nature & Art,"Udruženje građana Priroda i umetnost, Beograd",Đorđe Stanojević,00381 64 1901060,djordje.stanojevic@gmail.com,www.nature-and-art.rs,Osečina,August,Visual arts,4-7 days,International
"Likovna kolonija ""Vlasina""",Leskovački kulturni centar,Ivana Ristić,00381 64 8763390,ivana.ristic1@gmail.com,lkc.org.rs,Vlasina lake,July-August,Visual arts,4-7 days,International
Međunarodna kolonija umetničke keramika Zlakusa Užice,Udruženje Keramika Zlakusa Užice,Sofija Bunardžić ,00381 64 1308766,sofijaue@gmail.com,www.keramika-zlakusa.org,"Zlakusa village, City of Užice",August,Art pottery,10 days,International
Likovna kolonija  Dani romske kulture i običaja,CRRZ Amaro drom,Zdravka Simić,00381 61 1760926,zdravka.nasput@gmail.com,/,Smederevska Palanka,April,Visual arts - kids,4-7 days,/
"Umetnička kolonija ""Sopoćanska viđenja"""," Galerija MMC, Kulturni centar Novi Pazar",Amra Hodžić Jejna,00381 20 200000,info@kcnp.rs ,www.kcnovipazar.rs,Novi Pazar,July,Visual and applied arts,4-7 days,International
Booking residence - Booking Rezidencije,Kulturni centar Grad and TRADUKI (Berlin) ,Jelena Pavlović,00381 63 1630020,jelena@gradbeograd.eu,https://www.kcgrad.rs,Beograd,Three to four times per year,Literature and literary criticism,2 - 6 weeks,Regional
"Likovna kolonija u sklopu SANDŽAK ART FESTIVALA (ex ""Sandžak inspiracija umjetnika"")","Galerija MMC, Kulturni centar Novi Pazar",Amra Hodžić Jejna,00381 63 8145044,galerija.mmc.np@gmail.com,www.kcnovipazar.rs,Novi Pazar,August-September,Visual and applied arts,4-7 days,International
Lazina kuća za pisce,"Kulturni centar, Šabac",Katarina Janković Popović,00381 69 2649011,kcentar17@gmail.com & katcka74@gmail.com,kulturni-centar.rs,Šabac,October,Literature,4-7 days,/
Feministička likovna kolonija,"Centar za devojke, Niš",Tatjana Nikolić,00381 60 3616859,centarzadevojke@gmail.com,https://centarzadevojke.org.rs/feministicka-likovna-kolonija/,"Sićevo village, near City of Niš",July-August,Visual arts,4-7 days,Regional
Likovna kolonija RESAVA,"Centar za kulturu ‚‚Sveti Stefan, despot srpski‚‚ Despotovac",Vlatka Milenković,00381 65 611 0477,sv.stefandespotovac@gmail.com ,/,"Despotovac, Lisine",June-July,Painting and sculpture,4-7 days,International
"umetnička kolonija ""Mali korak"" Ogladjenovac",Legat slika i skulptura Spomenke Molly Alečković i Milijane Juce Jovanović,Spomenka Molly Aleckovic,00381 63 1756442,uutmalikorak@gmail.com,https://uut-mali-korak.jimdosite.com/,"Valjevo, Ogladjenovac, Srbija",July-September,Painting and sculpture,4-7 days,International
Likovna kolonija Vranje,JU Narodni univerzitet Vranje,Vesna Marinković Stanković,00381 69 1412962, narodniuniverzitet@gmail.com ,narodniuniverzitetvranje.edu.rs,Vranje,July,Visual arts,4-7 days,International
Ликовна колонија Видовдан,"Дом културе ""Грачаница"" и Галерија уметности Приштина",Milena Zdravković,00381 38 65488,domkulturegracanica@gmail.com ,https://www.facebook.com/domkulturegracanica/,Gračanica,June,Contemporary visual arts,4-7 days,International
Međunarodna književna kolonija SKD-Krupara,Srpsko književno društvo,Dejan Simonović, 00381 64 2140 604,dejan.simonovic@gmail.com ,https://www.skd.rs/?s=krupara,Bačko Dušanovo near Subotica,September,Literature,4-7 days,International
"Međunarodna likovna kolonija ""SOVLJAK""",Kulturno-obrazovni centar Bogatić,Miloš Simić & Damir Vučetić,00381 60 0878 330 & 060 0878 326,kocbogatic2016@gmail.com,https://kocbogatic.rs,"Sovljak, Bogatić",June,"Painting, sculpture, photography",4-7 days,International
Koreni,Narodna biblioteka Žitorađa,Dejan Miletić,00381 62 8824166,nbzito@gmail.com,,Žitorađa,July,Painting,4-7 days,International
"Likovna kolonija ""Ravništarka - Svetlost Homolja""",Turistička organizacija Kučevo,Uroš Tričković ,00381 60 6303 555 ,tokiucevo@gmail.com,https://www.tokucevo.org/,"Ravništarka cave, Ravnište village, Kučevo municipality",August,Painting and sculpture,4-7 days,National
Likovna kolonija Obrenovac,"Javno preduzeće Sportsko kulturni centar ""Obrenovac""",Ivana Gavrić,00381 64 83 74 339,galeria.skcobrenovac@gmail.com,https://www.obrenovac-info.co.rs/,Obrenovac,August,Visual arts,4-7 days,National
Likovna kolonija SPEKTAR ,Društvo mladih istraživača Čučuge likovna sekcija SPEKTAR pri društvu ,Dragoljub Trindić,00381 64 1748288,trindicd@gmail.com,/,Čučuge kod Uba ,July-August,Painting and art education,1-3 days,National
Četiri vode,Četiri vode,Jelena i Nataša Prljević,00381 63 8280748,cetirivode.fourwaters@gmail.com ,https://4vode.com/eng/home/,Ljubanje village near Užice ,Summer - Automn ,"Experimental practices, visual arts, performance",Flexible,International
